effectName,shortDesc,fullDesc,activeDesc,TEST,indexNum,displayNum,player,accessible,inclusion,exemplarTheme,school,duration,rarity,component,inspiration,specFunc,Lite 120,Exemplar Inclusion,D#,Category,Scope,isAbjuration,isChronomancy,isConjuration,isDivination,isEnchantment,isEvocation,isIllusion,isNecromancy,isTransmutation,Cycle
Ma'rûf's Circlet,All players may choose a card they own from outside of the game and put it into their hand.,,,DIFF,11,011,duel,TRUE,custom,,Divination,Instant,uncommon,,,,,,090,Cards,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Shop'n'Swap
Dead Man's Party,Creatures you control lose their abilities and become 2/2 black Zombies until end of turn.,,,DIFF,12,012,duel,TRUE,"lite, custom",,"Transmutation, Necromancy",Turn,uncommon,,,,x,,088,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Dammit Joe
Trampoline Party,Creatures you control gain flying until end of turn.,,,DIFF,13,013,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,364,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Sticks and Stilts,"Until the start of your next turn, creatures you control gain reach.",,Creatures [controllingPlayer] controls have reach.,DIFF,14,014,duel,TRUE,custom,,Transmutation,Round,common,Reminder,,,,,169,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Beach Party,Creatures you control gain islandwalk until end of turn.,,,DIFF,15,015,duel,TRUE,custom,,Transmutation,Turn,uncommon,,,,,,272,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Mosh Pit,Creatures you control gain trample until end of turn.,,,DIFF,16,016,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,373,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Tent Revival,Creatures you control gain indestructible until end of turn.,,,DIFF,17,017,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,uncommon,,,,,y,324,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Climbing Trek,Creatures you control gain mountainwalk until end of turn.,,,DIFF,18,018,duel,TRUE,custom,,Transmutation,Turn,uncommon,,,,,,072,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Peat Harvesting,Creatures you control gain swampwalk until end of turn.,,,DIFF,19,019,duel,TRUE,custom,,Transmutation,Turn,uncommon,,,,,,283,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Camping Trip,Creatures you control gain forestwalk until end of turn.,,,DIFF,20,020,duel,TRUE,custom,,Transmutation,Turn,uncommon,,,,,,031,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Road Trip,Creatures you control gain plainswalk until end of turn.,,,DIFF,21,021,duel,TRUE,custom,,Transmutation,Turn,uncommon,,,,,,028,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Riot,Creatures you control gain melee until end of turn.,,,DIFF,22,022,multi,TRUE,"exemplar, custom",main,Transmutation,Turn,uncommon,,,,,y,029,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Polearm Practice,Creatures you control gain first strike until end of turn.,,,DIFF,23,023,duel,TRUE,"lite, exemplar, custom",main,Transmutation,Turn,common,,,,x,y,310,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Aggressive Sales,Creatures you control gain double strike until end of turn.,,,DIFF,24,024,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,uncommon,,,,,y,059,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Scholarly Invitations,Creatures you control gain prowess until end of turn.,,,DIFF,25,025,duel,TRUE,custom,,Transmutation,Turn,common,,,,,,XX,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Extra Coffee Rations,Creatures you control gain vigilance until end of turn.,,,DIFF,26,026,duel,TRUE,"lite, exemplar, custom",main,"Transmutation, Abjuration",Turn,common,,,,x,y,110,Buff,Player,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Poisoned Blades,Creatures you control gain deathtouch until end of turn.,,,DIFF,27,027,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,uncommon,,,,,y,239,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Siphonophores,Creatures you control gain lifelink until end of turn.,,,DIFF,28,028,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,189,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Something Clever,Creatures you control gain hexproof until end of turn.,,,DIFF,29,029,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,102,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Overrun,Creatures you control gain +3/+3 and trample until end of turn.,,,DIFF,30,030,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,uncommon,,,,,y,113,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Sonic and Friends,Creatures that enter the battlefield under your control this turn gain haste until end of turn.,,,DIFF,31,031,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,284,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Pyroclasm,All creatures take 2 damage.,,,DIFF,32,032,duel,TRUE,"lite, exemplar, custom",main,Evocation,Instant,common,,,,x,y,256,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basics
Pyroclasm Squared,All creatures take 4 damage.,,,DIFF,33,033,duel,TRUE,"lite, exemplar, custom",main,Evocation,Instant,common,,,,x,y,386,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basics
Pyroclasm Cubed,All creatures take 8 damage.,,,DIFF,34,034,duel,TRUE,"lite, exemplar, custom",main,Evocation,Instant,uncommon,,,,x,y,183,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basics
Stream of Life,Gain <z-rb>1d10</z-rb> life.,,,DIFF,35,035,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,096,Life,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
River of Life,Gain <z-rb>1d20</z-rb> life.,,,DIFF,36,036,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,uncommon,,,,x,y,068,Life,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
Ocean of Life,SPECIAL EFFECT,Gain 2d10 life. Each other player gains 1d10 life.,,DIFF,37,037,duel,TRUE,"exemplar, custom",main,Necromancy,Instant,uncommon,,Ryan C,TRUE,,y,123,Life,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
Musical Chairs,"Players (and any player-attached auras, counters, life totals, etc.) move one seat to the <z-rb>direction</z-rb>. All cards in other zones remain where they started.",,,DIFF,38,038,duel,FALSE,"lite, exemplar, custom",main,Enchantment,Instant,rare,,,,x,y,319,Wacky,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Musical Hands,Each player's hand is passed to the player to their <z-rb>direction</z-rb>.,,,DIFF,39,039,multi,TRUE,"lite, exemplar, custom",main,Illusion,Instant,rare,,,,x,y,244,Wacky,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Dammit Joe
Musical Libraries,Each player's library is passed to the player to their <z-rb>direction</z-rb>.,,,DIFF,40,040,duel,TRUE,"lite, exemplar, custom",main,Enchantment,Instant,rare,,,,x,y,301,Wacky,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Musical Life,Each player's life total is transferred to the player to their <z-rb>direction</z-rb>.,,,DIFF,41,041,multi,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,rare,,,,x,y,026,Wacky,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Dammit Joe
Musical Creatures,All creatures each player controls are passed to the player to their <z-rb>direction</z-rb>. They remain tapped or untapped.,,,DIFF,42,042,multi,TRUE,"lite, exemplar, custom",main,Enchantment,Instant,rare,,,,x,y,308,Wacky,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Musical Lands,All lands each player controls are passed to the player to their <z-rb>direction</z-rb>. They remain tapped or untapped.,,,DIFF,43,043,duel,TRUE,"lite, exemplar, custom",main,Enchantment,Instant,rare,,,,x,y,120,Wacky,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Surprise!,"Search your library for up to 3 creatures and put them into play, untapped, then shuffle your library. They gain haste.",,,DIFF,44,044,duel,TRUE,"exemplar, custom",main,Conjuration,Instant,uncommon,,,,,y,209,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish Inquisition
Fear!,Creatures you control gain intimidate until end of turn.,,,DIFF,45,045,duel,TRUE,"exemplar, custom",main,Transmutation,Turn,common,,,,,y,210,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Spanish Inquisition
Ruthless Efficiency!,"Until the end of your turn, you may cast instant and sorcery spells without paying their casting costs. <z-is>x</z-is> costs must still be paid. Mana spent for an <z-is>x</z-is> cost counts as 2 points for purposes of X effects.",,,DIFF,46,046,duel,TRUE,"exemplar, custom",main,Evocation,Turn,rare,,,,,y,211,Mana,Player,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Spanish Inquisition
An almost fanatical devotion to the Pope!,Create 1d6 Spirits.,Create <z-rb>1d6</z-rb> 1/1 white Spirit creature tokens with flying.,,DIFF,47,047,duel,TRUE,"exemplar, custom",main,Conjuration,Instant,uncommon,6x Spirit,,,,y,212,Token,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish Inquisition
Nice red uniforms!,Create 1d3 Dragons.,Create <z-rb>1d3</z-rb> 4/4 red Dragon creature tokens with flying.,,DIFF,48,048,duel,TRUE,"exemplar, custom",main,Conjuration,Instant,uncommon,3x Dragon,,,,y,213,Token,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish Inquisition
The Comfy Chair!,Tap target player.,,,DIFF,49,049,duel,FALSE,"lite, exemplar, custom",main,Enchantment,Instant,common,,,,x,y,214,Wacky,Target Player,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Spanish Inquisition
Mini-Disk,"Each player sacrifices one land, creature, or artifact.",,,DIFF,50,050,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,uncommon,,,,x,y,025,Destruction,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
Call Stu,Switch life totals with target opponent.,,,DIFF,51,051,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,Stu,,x,y,237,Life,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,History
Phyrexian Suitcase,"You may pay X life to put a token copy of any card you own from ouside the game into play, where X is half (rounded up) of that card's converted mana cost.",,,DIFF,52,052,duel,TRUE,custom,,Conjuration,Instant,uncommon,,,,,,195,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Phyrexia
Cloak of Eyes,Scry 10.,,,DIFF,53,053,duel,TRUE,"exemplar, custom",main,Divination,Instant,uncommon,,,,,y,387,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
Time Walk,Take an extra turn after this one.,,,DIFF,54,054,duel,TRUE,"lite, exemplar, custom",main,Chronomancy,Turn,rare,,,,x,y,009,"Meta, Player",Player,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
Redshirt Brigade,Create 2d4+1 Starfleet Ensigns.,Create <z-rb>2d4+1</z-rb> 0/1 red/white Starfleet Ensign creature tokens with defender and reach.,,DIFF,55,055,duel,TRUE,"exemplar, custom",tokenizer,Conjuration,Instant,uncommon,9x Starfleet Ensign,,,,t,281,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Brigades
Squirrel Brigade,Create X Squirrels. X is the number of lands on the battlefield.,Create X 1/1 green Squirrel creature tokens. X is the number of lands on the battlefield.,,DIFF,56,056,duel,TRUE,"exemplar, custom",tokenizer,Conjuration,Instant,uncommon,9x Squirrel,,,,t,040,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Brigades
Skeleton Brigade,Create X Skeletons. X is the number of creatures in all graveyards.,Create X 1/1 black Skeleton creature tokens. X is the number of creatures in all graveyards.,,DIFF,57,057,duel,TRUE,"exemplar, custom",tokenizer,"Conjuration, Necromancy",Instant,uncommon,9x Skeleton,,,,t,051,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Brigades
Someone Didn't Balance This One,"Gain 20 life. Each opponent loses 5 life. Each opponent sacrifices a creature, artifact, and land. Create 1d3 Goliaths. You become the monarch.","Gain 20 life. Each opponent loses 5 life. Each opponent sacrifices a creature, artifact, and land. Create <z-rb>1d3</z-rb> 6/6 colourless Goliath creature tokens with trample and reach. You become the monarch.",,DIFF,58,058,multi,TRUE,custom,,"Necromancy, Conjuration, Transmutation",Instant,rare,3x Goliath,,,,,317,Wacky,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Dammit Joe
Tradewinds,"You may exchange control of up to one each of a creature, artifact, enchantment, and land for control of a card of the same type that an opponent controls.",,,DIFF,59,059,duel,TRUE,"lite, custom",,Enchantment,Instant,uncommon,,,,x,,306,Control,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Shop'n'Swap
Juxtapose,Exchange control of target creature you control and target creature an opponent controls.,,,DIFF,60,060,duel,TRUE,"exemplar, custom",main,Enchantment,Instant,common,,,,,y,251,Control,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Shop'n'Swap
Invert Energy,"Until the start of your next turn, effects that would cause you to gain life cause life loss instead, and effects that would deal damage or cause you to lose life cause you to gain life instead.",,"Effects that would cause [controllingPlayer] to gain life cause life loss instead, and effects that would deal damage or cause [controllingPlayer] to lose life cause them to gain life instead.",DIFF,61,061,duel,TRUE,"exemplar, custom",main,Necromancy,Round,rare,Reminder,,,,y,347,Wacky,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Shop'n'Swap
Azathoth Awakens,"The game ends. Azathoth wins and consumes the universe. Reality ceases. Congratulations, look what you've done.",,,DIFF,62,062,duel,TRUE,"exemplar, custom",badthings,Chronomancy,Instant,rare,,,,,x,XX,Terrible,All,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Bite of the Black Rose,Players Vote: Sickness or Psychosis.<ul><li>Sickness: creatures your opponents control get -2/-2 until end of turn.</li><li>Psychosis/tie: each opponent discards two cards.</li><ul>,,,VOTE,63,063,multi,TRUE,custom,,"Transmutation, Divination",Instant,uncommon,,,,,,232,Vote,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Democracy
Coercive Portal,Players Vote: Carnage or Homage.<ul><li>Carnage: destroy all nonland permanents.</li><li>Homage/tie: draw three cards.</li><ul>,,,VOTE,64,064,multi,TRUE,custom,,"Evocation, Divination",Instant,uncommon,,,,,,229,Vote,All,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Democracy
Council's Judgement,Players Vote: Each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.,,,VOTE,65,065,multi,TRUE,custom,,Abjuration,Instant,uncommon,,,,,,303,Vote,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Democracy
Custodi Squire,"Players Vote: Each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.",,,VOTE,66,066,multi,TRUE,custom,,Necromancy,Instant,uncommon,,,,,,126,Vote,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Democracy
Magister of Worth,Players Vote: Grace or Condemnation.<ul><li>Grace: each player returns each creature from their graveyard to the battlefield.</li><li>Condemnation/tie: destroy all creatures.</li><ul>,,,VOTE,67,067,multi,TRUE,custom,,"Necromancy, Evocation",Instant,uncommon,,,,,,156,Vote,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Democracy
Plea for Power,Players Vote: Time or Knowledge.<ul><li>Time: you take an extra turn after this one.</li><li>Knowledge/tie: draw six cards.</li><ul>,,,VOTE,68,068,multi,TRUE,custom,,"Divination, Chronomancy",Instant,uncommon,,,,,,038,Vote,All,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Democracy
Tyrant's Choice,Players Vote: Death or Torture.<ul><li>Death: each opponent sacrifices a creature.</li><li>Torture/tie: each opponent loses 4 life.</li><ul>,,,VOTE,69,069,multi,TRUE,custom,,Necromancy,Instant,uncommon,,,,,,358,Vote,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Democracy
Lietenant of the Guard,Players Vote: Strength or Numbers. Put a +1/+1 counter on a creature you control for each Strength vote. Create a Soldier for each Numbers vote.,Players Vote: Strength or Numbers. Put a +1/+1 counter on a creature you control for each Strength vote. Create a 1/1 white Soldier token creature for each Numbers vote.,,VOTE,70,070,multi,TRUE,custom,,"Conjuration, Transmutation ",Instant,uncommon,,,,,,002,"Vote, Counter, Token",All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Democracy
Selvala's Stampede,"Players Vote: Wild or Free. Reveal cards from the top of your library until you reveal a creature card for each Wild vote. Put those creatures onto the battlefield, then shuffle the rest into the library. You may put a permanent from your hand onto the battlefield for each Free vote.",,,VOTE,71,071,multi,TRUE,custom,,Conjuration,Instant,rare,,,,,,055,Vote,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Democracy
Ill-Executed Warp World,MINIGAME,"Exile all Auras. Exile all creatures in play. Shuffle all creatures exiled in this way together. Starting with yourself, deal creatures to all players one at a time in direction of play. Repeat with planeswalkers, artifacts, enchantments, and lands. Each player puts the cards they've been dealt into play under their control. Repeat with cards in hands.",,DIFF,72,072,duel,TRUE,minigame,,Enchantment,Instant,rare,,,,,,MG02,Meta,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Ill-Executed Balance,MINIGAME,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players sacrifice planeswalkers, creatures, artifacts, enchantments, and discard cards the same way.",,DIFF,73,073,duel,TRUE,minigame,,Necromancy,Instant,rare,,,,,,MG03,Meta,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Dammit Joe
"Yay, Draw!",Draw three cards.,,,DIFF,74,074,duel,TRUE,"lite, exemplar, custom",main,Divination,Instant,common,,,,x,y,366,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
"Meh, Draw",You and target opponent each draw three cards.,,,DIFF,75,075,duel,TRUE,"lite, exemplar, custom",main,Divination,Instant,common,,,,x,y,098,Cards,"Player, Opponent",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
"Boo, Draw",Each opponent draws three cards.,,,DIFF,76,076,duel,TRUE,"lite, exemplar, custom",main,Divination,Instant,common,,,,x,y,297,Cards,Opponent,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
"Yay, Life!",Gain four life.,,,DIFF,77,077,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,264,Life,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
"Meh, Life",You and target opponent each gain four life.,,,DIFF,78,078,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,076,Life,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
"Boo, Life",Each opponent gains four life.,,,DIFF,79,079,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,388,Life,Opponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
"Yay, Counters!",Distribute two +1/+1 counters among creatures you control. Put a +1/+1 counter on yourself.,,,DIFF,80,080,duel,TRUE,"lite, exemplar, custom",main,Transmutation,Instant,common,,,,x,y,058,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
"Meh, Counters",Distribute two +1/+1 counters among creatures you control. Target opponent distributes two +1/+1 counters among creatures they control.,,,DIFF,81,081,duel,TRUE,"lite, exemplar, custom",main,Transmutation,Instant,common,,,,x,y,143,Buff,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
"Boo, Counters",Each opponent distributes two +1/+1 counters among creatures they control.,,,DIFF,82,082,duel,TRUE,"lite, exemplar, custom",main,Transmutation,Instant,common,,,,x,y,054,Buff,Opponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
"Yay, Mill!",Each opponent puts the top two cards of their library into their graveyard.,,,DIFF,83,083,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,316,Cards,Opponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
"Meh, Mill",Put the top two cards of your library into your graveyard. Target opponent puts the top two cards of their library into their graveyard.,,,DIFF,84,084,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,119,Cards,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
"Boo, Mill",Put the top two cards of your library into your graveyard.,,,DIFF,85,085,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,115,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
